
1	21	18	3-0	4	33458
2	30	9	0-0	18	26806
3	33	4	3-0	17	25691
4	47	8	1-0	9	49402
5	52	4	1-2	6	25698
6	53	9	2-5	5	26831
7	70	16	2-4	2	36060
8	78	14	1-1	8	47456
9	80	1	1-1	9	33184
10	87	8	2-1	17	49731
11	89	2	2-3	7	41644
12	98	5	1-1	8	44803
13	105	19	1-2	17	17812
14	108	8	0-1	18	51855
15	109	2	1-1	5	41627
16	114	10	1-3	12	18174
17	116	17	2-1	2	25933
18	132	2	0-0	4	41707
19	140	18	3-1	2	35005
20	153	14	1-3	2	39273
21	155	19	2-2	10	17163
22	159	4	2-1	8	25270
23	165	10	2-1	4	18233
24	174	16	0-0	13	35702
25	183	9	0-1	2	26831
26	188	13	3-1	5	27490
27	197	3	1-2	2	39485
28	200	6	3-0	13	47192
29	224	18	1-1	10	34962
30	227	2	2-1	0	41784
31	233	13	2-2	19	24421
32	235	0	2-2	5	60089
33	268	6	2-0	2	47256
34	269	8	4-2	12	52259
35	271	2	1-0	17	41548
36	283	11	1-2	1	24102
37	284	17	2-1	15	24832
38	288	1	3-2	10	38594
39	303	19	1-0	9	17784
40	312	16	2-2	3	36192
41	327	4	0-3	2	25002
42	333	17	1-1	8	25671
43	337	7	3-0	1	75591
44	338	6	2-1	18	47189
45	342	19	2-2	16	22326
46	344	11	0-0	10	23388
47	347	1	6-1	14	37428
48	351	16	1-0	12	36190
49	352	17	2-3	19	25756
50	361	1	1-2	2	42084
51	365	9	4-0	17	26837
52	367	14	1-1	12	41988
53	379	18	4-2	11	34973
