
1	-3.71053	0	0
2	-2.81176	0	-1
3	-1.40952	0	1
4	3.5163	0	0
5	6.54167	0	-1
6	-0.0369565	0	-1
7	4.54545	0	-1
8	6.5	0	1
9	-10.1818	0	-1
10	4.1867	0	-1
11	-9.83575	-1	-1
12	-0.240476	0	-1
13	4.2046	2	1
14	-5.89258	2	-1
15	2	0	0
16	2.35354	0	1
17	-6.66667	2	0
18	-5.4899	-1	-1
19	4.375	0	0
20	2.39773	2	0
21	2.46176	0	-1
22	1.599	-2	0
23	-6.9	0	0
24	4.28431	1	-1
25	0.180556	0	0
26	-7.17273	-2	-1
27	-0.875	1	1
28	-2.0415	-2	0
29	9.71344	2	1
30	0.35	2	0
31	-6.90909	-4	-1
32	0.277433	4	-1
33	-2.57843	3	-1
34	-7.3599	-1	-1
35	5.84444	5	0
36	7.64773	2	0
37	4.58553	-2	0
38	8.8913	0	1
39	-2.1631	-1	0
40	3.92717	0	1
41	-6.31944	-3	-1
42	1.32213	3	-1
43	-2.22464	-3	-1
44	1.83947	-1	0
45	1.46732	1	1
46	1.92935	4	1
47	-2.35455	-1	-1
48	-3.27273	0	0
49	-4.9	-2	-1
50	1.94444	2	1
51	-5.52674	-5	-1
52	6.36096	1	1
53	6.775	-1	1
54	4.34585	4	0
55	-0.934524	1	-1
56	-0.845029	-2	-1
57	-1.80435	-2	1
58	-0.0797101	4	0
59	-1.65	4	1
60	-6.98325	-1	-1
61	-7.84444	-6	-1
62	-2.58178	-1	0
63	1.76667	-4	-1
64	3.1732	4	0
65	5.55	0	1
66	3.82086	2	0
67	-5.25	1	0
68	-6.58696	-4	-1
69	6.3498	3	1
70	0.944444	0	1
71	-2.49872	-1	-1
72	-8.7663	-2	-1
73	-7.17935	-3	-1
74	0.753968	0	-1
75	8.93939	1	1
76	-1.35909	-3	-1
77	5.9	5	-1
78	0.165072	0	0
79	2.51765	5	0
80	-0.313043	0	0
81	-3.9	-3	-1
82	4.80307	5	0
83	0.664474	1	0
84	-0.994444	5	-1
85	-8.58225	-5	-1
86	2.25735	-1	0
87	-2.12121	0	-1
88	7.90909	5	1
89	0.859903	-1	1
90	-2.80435	-3	-1
91	1.70588	1	0
92	1.525	1	-1
93	-1.87643	-3	1
94	7.25397	5	0
95	-5.55556	-5	1
96	8.82273	4	0
97	-3.9913	2	0
98	-4.42045	0	0
99	-1.24242	-2	-1
100	-3.08824	1	0
101	-2.32817	-2	-1
102	1.9913	1	0
103	1.59957	3	0
104	0.475	-2	-1
105	-1.11111	0	1
106	8.3913	4	1
107	-2.27273	-3	-1
108	-2.00455	0	1
109	-1.06944	0	0
110	1	-1	-1
111	-5.43056	-1	-1
112	-8.85968	-6	-1
113	-1.76407	1	1
