
1	1	0	0-0	14	60078
2	2	4	5-0	9	25062
3	3	10	0-5	15	18072
4	4	11	1-1	13	23973
5	5	17	3-0	5	26039
6	6	18	1-0	1	34172
7	7	8	2-1	16	52385
8	8	19	0-2	2	19738
9	9	6	3-2	12	46190
10	10	3	1-0	7	38415
11	15	9	1-1	10	26317
12	16	12	0-2	19	29604
13	19	13	0-0	0	27072
14	25	19	2-2	13	16247
15	38	11	1-3	16	24160
16	52	4	1-2	6	25698
17	53	9	2-5	5	26831
18	70	16	2-4	2	36060
19	78	14	1-1	8	47456
20	80	1	1-1	9	33184
21	87	8	2-1	17	49731
22	89	2	2-3	7	41644
23	98	5	1-1	8	44803
24	105	19	1-2	17	17812
25	108	8	0-1	18	51855
26	109	2	1-1	5	41627
27	114	10	1-3	12	18174
28	116	17	2-1	2	25933
29	132	2	0-0	4	41707
30	140	18	3-1	2	35005
31	153	14	1-3	2	39273
32	155	19	2-2	10	17163
33	159	4	2-1	8	25270
34	165	10	2-1	4	18233
35	174	16	0-0	13	35702
36	183	9	0-1	2	26831
37	188	13	3-1	5	27490
38	197	3	1-2	2	39485
39	200	6	3-0	13	47192
40	224	18	1-1	10	34962
41	227	2	2-1	0	41784
42	233	13	2-2	19	24421
43	235	0	2-2	5	60089
44	268	6	2-0	2	47256
45	269	8	4-2	12	52259
46	271	2	1-0	17	41548
47	283	11	1-2	1	24102
48	284	17	2-1	15	24832
49	288	1	3-2	10	38594
50	303	19	1-0	9	17784
51	312	16	2-2	3	36192
52	327	4	0-3	2	25002
53	333	17	1-1	8	25671
54	337	7	3-0	1	75591
55	338	6	2-1	18	47189
56	342	19	2-2	16	22326
57	344	11	0-0	10	23388
58	347	1	6-1	14	37428
59	351	16	1-0	12	36190
60	352	17	2-3	19	25756
61	361	1	1-2	2	42084
62	365	9	4-0	17	26837
63	367	14	1-1	12	41988
64	379	18	4-2	11	34973
