
1	1	8	1-0	14	44822
2	2	0	1-3	1	60003
3	3	12	2-2	5	26824
4	4	15	0-1	6	43905
5	5	18	0-1	13	25927
6	6	19	2-0	2	34977
7	7	16	1-4	10	20733
8	8	4	0-1	17	23285
9	9	3	2-0	7	41374
10	10	9	4-0	11	46842
11	11	3	2-1	1	41527
12	17	14	2-1	4	25270
13	23	2	0-0	5	27344
14	32	1	1-2	11	37554
15	39	13	0-0	19	28794
16	79	1	0-2	17	35391
17	88	3	2-1	9	41495
18	116	14	2-0	15	26007
19	134	10	0-1	5	75210
20	135	13	2-3	1	29814
21	147	15	1-2	17	37963
22	149	0	1-1	5	60001
23	152	2	1-0	18	26632
24	153	3	2-1	4	41608
25	171	7	2-3	10	24826
26	193	4	1-1	12	25189
27	241	8	5-1	0	44701
28	242	1	0-2	19	36261
29	248	16	3-0	2	20402
30	261	2	0-4	7	26167
31	264	19	3-1	13	33148
32	278	2	3-1	6	26796
33	279	4	0-1	13	25073
34	299	19	0-2	10	34237
35	328	6	1-0	12	25028
36	338	17	3-1	6	35841
37	347	9	3-1	18	46564
38	350	14	0-1	17	26021
39	352	18	1-0	19	26541
40	362	14	4-1	6	27429
41	363	16	0-1	13	20682
